Date/Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
17/12/2006/00:11:00,2.53,0.182,241.74,10.4,0,0,0
17/12/2006/00:12:00,2.122,0.048,240.91,9.2,0,0,0
17/12/2006/00:13:00,4.464,0.136,234.66,19,0,37,16
17/12/2006/00:14:00,2.358,0.058,241.13,9.6,0,0,0
17/12/2006/00:15:00,3.308,0.074,236.51,14,0,0,17
17/12/2006/00:16:00,2.934,0,235.51,12.4,0,1,17
17/12/2006/00:17:00,2.412,0.066,238.46,10,0,0,0
17/12/2006/00:18:00,2.676,0.088,240.69,11.4,0,0,0
17/12/2006/00:19:00,0.286,0,244.03,1.2,0,0,0
17/12/2006/00:20:00,2.346,0.06,240.5,9.6,0,0,0
17/12/2006/00:21:00,3.302,0,232.91,14,0,0,17
17/12/2006/00:22:00,3.454,0.168,235.73,14.6,0,2,17
17/12/2006/00:23:00,1.516,0.19,241.36,7.6,0,0,0
17/12/2006/00:24:00,4.86,0.198,239.65,20.2,0,36,0
17/12/2006/00:25:00,3.454,0.15,235.75,14.6,0,0,17
17/12/2006/00:26:00,2.336,0.07,233.51,10,0,1,16
17/12/2006/00:27:00,3.538,0.086,233.76,15.6,0,1,16
17/12/2006/00:28:00,3.404,0.16,233.77,14.4,0,1,17
17/12/2006/00:29:00,2.74,0.064,238.13,12,0,0,17
17/12/2006/00:30:00,4.408,0,232.32,18.8,0,1,16
17/12/2006/00:31:00,2.926,0.178,237.09,12.8,0,2,17
17/12/2006/00:32:00,0.376,0.1,241.64,1.6,0,0,0
17/12/2006/00:33:00,0.902,0.098,242.62,5.2,0,0,0
17/12/2006/00:34:00,3.478,0,239.84,15,0,36,0
17/12/2006/00:35:00,0.96,0.054,238.68,5.6,0,0,0
17/12/2006/00:36:00,2.586,0.07,241.63,11,0,1,0
17/12/2006/00:37:00,3.182,0,235.99,13.6,0,1,17
17/12/2006/00:38:00,3.392,0,236.6,14.2,0,0,17
17/12/2006/00:39:00,3.45,0.15,235.69,14.6,0,0,17
17/12/2006/00:40:00,0.436,0,241.06,2.8,0,0,0
17/12/2006/00:41:00,0.658,0.244,243.75,3,0,1,0
17/12/2006/00:42:00,1.666,0.052,240.65,8,0,0,0
17/12/2006/00:43:00,3.264,0.076,234.6,13.8,0,0,16
17/12/2006/00:44:00,2.492,0.172,239.49,10.4,0,0,0
17/12/2006/00:45:00,4.536,0,233.54,19.4,0,1,17
17/12/2006/00:46:00,2.104,0.076,240.11,9.2,0,0,0
17/12/2006/00:47:00,3.33,0.072,237.36,14,0,0,17
17/12/2006/00:48:00,2.456,0.048,241.98,10,0,0,0
17/12/2006/00:49:00,3.214,0.078,232.64,13.8,0,0,17
17/12/2006/00:50:00,2.434,0.072,240.13,10,0,0,0
17/12/2006/00:51:00,3.276,0,231.97,14,0,1,17
17/12/2006/00:52:00,3.366,0.048,234.96,14.2,0,0,17
17/12/2006/00:53:00,3.414,0.054,236.87,14.4,0,0,17
17/12/2006/00:54:00,1.262,0.046,240.96,6.8,0,0,0
17/12/2006/00:55:00,3.354,0,237,14,0,0,17
17/12/2006/00:56:00,2.448,0,233.64,10.6,0,1,17
17/12/2006/00:57:00,2.54,0.088,234.67,10.8,0,4,17
17/12/2006/00:58:00,1.86,0.066,239.69,8.4,0,2,18
17/12/2006/00:59:00,3.426,0.054,237.11,14.4,0,0,17
17/12/2006/01:00:00,3.392,0.156,232.84,14.4,0,1,17
17/12/2006/01:01:00,3.61,0.084,234.98,15.2,0,5,17
17/12/2006/01:02:00,4.218,0.09,232.09,18,0,1,17
17/12/2006/01:03:00,3.41,0.054,236.91,14.4,0,0,17
17/12/2006/01:04:00,3.496,0.146,236.76,14.8,0,0,17
17/12/2006/01:05:00,3.228,0.078,233.5,13.8,0,0,17
17/12/2006/01:06:00,3.372,0.048,235.05,14.2,0,0,17
17/12/2006/01:07:00,3.954,0.098,239.84,16.8,0,36,0
17/12/2006/01:08:00,2.56,0.286,238.71,10.8,0,2,0
17/12/2006/01:09:00,2.45,0.074,240.82,10,0,0,0
17/12/2006/01:10:00,0.37,0.1,241.58,1.6,0,0,0
17/12/2006/01:11:00,3.396,0.158,232.69,14.6,0,1,17
17/12/2006/01:12:00,3.216,0.078,232.79,13.8,0,0,17
17/12/2006/01:13:00,2.414,0,240.02,10,0,0,0
17/12/2006/01:14:00,3.286,0,232.31,14,0,0,17
17/12/2006/01:15:00,4.46,0,240.08,18.6,0,36,0
17/12/2006/01:16:00,4.928,0.202,235.01,21,0,37,16
17/12/2006/01:17:00,2.858,0.202,241.14,11.8,0,1,0
17/12/2006/01:18:00,3.388,0.134,233.72,14.4,0,1,17
17/12/2006/01:19:00,2.786,0.188,234.99,12,0,2,17
17/12/2006/01:20:00,2.344,0.058,239.99,9.6,0,0,0
17/12/2006/01:21:00,3.228,0,235.6,13.6,0,0,17
17/12/2006/01:22:00,3.392,0,236.58,14.2,0,1,17
17/12/2006/01:23:00,2.334,0.06,239.2,9.6,0,0,0
17/12/2006/01:24:00,3.52,0.522,235.02,15,0,2,17
17/12/2006/01:25:00,3.662,0.51,233.86,15.8,0,2,16
17/12/2006/01:26:00,3.668,0.51,233.99,15.8,0,1,17
17/12/2006/01:27:00,2.264,0.054,234.67,9.6,0,1,17
17/12/2006/01:28:00,2.374,0.056,241.7,9.8,0,0,0
17/12/2006/01:29:00,2.504,0.174,240.09,10.4,0,0,0
17/12/2006/01:30:00,2.08,0,241.61,9,0,28,0
17/12/2006/01:31:00,2.518,0.176,240.53,10.4,0,0,0
17/12/2006/01:32:00,3.386,0.05,235.77,14.2,0,0,17
17/12/2006/01:33:00,3.34,0.07,237.69,14,0,0,17
17/12/2006/01:34:00,0.386,0,242.39,2.4,0,0,0
17/12/2006/01:35:00,0.382,0.108,243.65,1.6,0,0,0
17/12/2006/01:36:00,3.458,0,238.89,14.8,0,0,0
17/12/2006/01:37:00,2.912,0.048,234.02,13,0,1,17
17/12/2006/01:38:00,3.43,0.156,237.06,14.4,0,0,17
17/12/2006/01:39:00,3.332,0,234.02,14.2,0,1,16
17/12/2006/01:40:00,2.54,0.06,241.23,10.4,0,0,0
17/12/2006/01:41:00,0.838,0.334,242.09,4.8,0,2,0
17/12/2006/01:42:00,1.786,0.096,237.68,8.2,0,1,18
17/12/2006/01:43:00,3.728,0,235.84,16.4,0,0,17
